Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,39,100153,24893499183825,"[AppMgr Trace]: AppId=0x6000220a suspended
"
PROCESS_OUTPUT,STREAM_STDIO,39,100153,24893500382118,"[Syscore App] Suspend App : 0x6000220a NPXX51362 => SCE_OK
"
PROCESS_OUTPUT,STREAM_STDIO,39,100153,24893500885442,"[Syscore App]  ExpandCpuSetMode : enable
"
PROCESS_OUTPUT,STREAM_STDIO,42,102423,24893501520113,"[SceLncService] sceApplicationSuspend(0x6000220a) returned
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893502035260,"[SceLncService] Completed suspending NPXX51362 (82 msec)
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893502245319,"[SceLncService] 0015616931 (time trace)
"
PROCESS_OUTPUT,STREAM_STDIO,42,100691,24893503583536,"[SceSystemStateMgr] Power Mode Change: NAVIGATION
"
PROCESS_OUTPUT,STREAM_STDIO,48,100854,24893509217447,"[VCS]checkApplicationStatus() [LNC->VCS] App was Suspended. appId = 0x6000220a.
"
PROCESS_OUTPUT,STREAM_STDIO,42,100691,24893522042980,"[SceSystemStateMgr] CPU  HLT CP SE CU ACLK DCLK ECLK LCLK SCLK SAMCLK VCLK DispCLK NCLK MemCLK MemP GMC DPM VDD      VDDNB    S"
PROCESS_OUTPUT,STREAM_STDIO,42,100691,24893522132548,"OC      
"
PROCESS_OUTPUT,STREAM_STDIO,42,100691,24893522158820,"[SceSystemStateMgr] 1600   1 NA  0  8  711  609  533  711  711    609  711     673 1400   1375   NA  NA   2 040/1137 04a/1068 0"
PROCESS_OUTPUT,STREAM_STDIO,42,100691,24893522183640,"0710f13
"
PROCESS_OUTPUT,STREAM_STDIO,42,100694,24893524445234,"[PS]Error: W:\Build\J02485719\vsh\shell\shell_core\process_starter\process_mount.cpp at 1154
"
PROCESS_OUTPUT,STREAM_STDIO,42,100694,24893525633843,"sceRifManagerPlayFirstTrialSwitchTimerState return 809c0201 [ent=ED1633-NPXX51362_00-0000000000000000, user=10000000 pft=3]
"
PROCESS_OUTPUT,STREAM_STDIO,42,100694,24893526006142,"MSG AutoMounter(int32_t AppIdManager::getPidWithIndex(SceApplicationId, int, pid_t *) 174):
"
PROCESS_OUTPUT,STREAM_STDIO,42,100694,24893526036003,"	appId(0x6000220a) with index(0) is not registered.
"
PROCESS_OUTPUT,STREAM_STDIO,42,100694,24893526110696,"MSG AutoMounter(int32_t AutoMount::UsbMass::fakeEjection(SceApplicationId) 716):
"
PROCESS_OUTPUT,STREAM_STDIO,42,100694,24893526221815,"	getPidWithIndex(0x6000220a, 0) returned 0x80f40002.
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893526912597,"[SceLncService] unlockSuspendBlock: appId={0x6000220a}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893526964518,"[SceLncService] suspendApp() appId={0x6000230b}, causeCode={0x00000000}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893528220973,"[SceLncService] BlockingKill() appId={0x6000220a}, titleId={NPXX51362}, is_coredumpFinished={0}, forceKill={0}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893528302975,"[SceLncService] convertToSysCoreKillReason: {0x00000000}->{0x00000000}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100222,24893528698833,"[BGFT] [5003] GameSuspended(NPXX51362, 3)
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893528955697,"[Syscore App] Kill App : 0x6000220a NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893529001310,"[Syscore App] Kill process: 0x55
"
PROCESS_OUTPUT,STREAM_STDIO,39,100137,24893531019166,"[mbus] onSessionKilled. pid=85
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531692498,"AUDIO OUT DEVICE INFOMATION
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531725886,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531752748,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531776259,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531801848,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531824608,"[DS4 WIRELESS      ][0x0000A4538522A20E][12]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531847980,"[DS4 WIRELESS      ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531873612,"[DS4 WIRELESS      ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531896733,"[DS4 WIRELESS      ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531935766,"AUDIO OUT DEVICE INFOMATION
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531962220,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893531992828,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893532015380,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893532037184,"[NONE                  ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893532061042,"[DS4 WIRELESS      ][0x0000A4538522A20E][12]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893532088754,"[DS4 WIRELESS      ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893532111150,"[DS4 WIRELESS      ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,40,100161,24893532133414,"[DS4 WIRELESS      ][0xFFFFFFFFFFFFFFFF][-1]
"
PROCESS_OUTPUT,STREAM_STDIO,42,100441,24893534738101,"[sceProcessStarter] OnIpcSessionClose()
"
PROCESS_OUTPUT,STREAM_STDIO,39,100137,24893535808100,"@ removeSession:L184
"
PROCESS_OUTPUT,STREAM_STDIO,50,100774,24893543063006,"[UIProcess] malloc stats freeSize:41634976 (99%) inuseSize:308064 peakSize:308608 [pid:0x32]
"
PROCESS_OUTPUT,STREAM_STDERR,41,100159,24893564392814,"Game Close detected
"
PROCESS_OUTPUT,STREAM_STDERR,41,100159,24893564483422,"GnmCompositor Reset Sequence Start
"
PROCESS_OUTPUT,STREAM_STDERR,41,100159,24893571176250,"GnmCompositor set reset flag
"
PROCESS_OUTPUT,STREAM_STDIO,39,100139,24893624943771,"[Syscore App] EVFILT_PROC NOTE_EXIT received : pid=0x55
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893625456756,"[Syscore App] Kill process: 0x55 => 0
"
PROCESS_OUTPUT,STREAM_STDIO,39,100139,24893628029622,"[Syscore App] process delete event : pid=0x55
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629370426,"[AppMgr Trace]: pid=0x55, deleted.
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629484076,"[Syscore App] Syscore Event Queue Push : SCE_SYSCORE_EVENT_ON_PROCESS_UNLOADED
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629587111,"[AppMgr] All processes exited
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629753088,"[Syscore App] Syscore Event Queue Push : SCE_SYSCORE_EVENT_ON_APP_UNLOADED
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629789316,"[AppMgr Trace]: AppId=0x6000220a  deleted
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629814000,"[Syscore App] Kill App : 0xffffffff  => 0
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629843698,"[Syscore App] blockingKill(0x6000220a, 0) complete
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893629972995,"[AppMgr] checkAppTerminated invalid app.
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,24893630239190,"[Syscore App]  ExpandCpuSetMode : enable
"
PROCESS_OUTPUT,STREAM_STDIO,39,100151,24893630523745,"[Syscore App] Syscore Event Queue Pop : SCE_SYSCORE_EVENT_ON_PROCESS_UNLOADED
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893630637939,"[SceLncService] start unmountAllForShellCoreInternal()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100216,24893630797791,"[SceLncService] end unmountAllForShellCoreInternal()
"
PROCESS_OUTPUT,STREAM_STDIO,39,100152,24893631597380,"[Syscore App] Syscore Event Queue Pop : SCE_SYSCORE_EVENT_ON_APP_UNLOADED
"
PROCESS_OUTPUT,STREAM_STDIO,42,100441,24893632101902,"[SceLncService] W:\Build\J02485719\vsh\shell\shell_core\lnc_service\lnc_manager.cpp(2024) getAppTitleId: LNC_ISOK::0x80940004
"
PROCESS_OUTPUT,STREAM_STDIO,42,100441,24893632137870,"[PS]Error: W:\Build\J02485719\vsh\shell\shell_core\process_starter\process_mount.cpp at 6878
"
PROCESS_OUTPUT,STREAM_STDIO,42,100441,24893632162210,"sceLncServiceGetAppTitleId() ret = 80940004
"
PROCESS_OUTPUT,STREAM_STDIO,42,100698,24893636781172,"[PS]Error: W:\Build\J02485719\vsh\shell\shell_core\process_starter\process_mount.cpp at 1154
"
PROCESS_OUTPUT,STREAM_STDIO,42,100698,24893636907862,"sceRifManagerPlayFirstTrialSwitchTimerState return 809c0201 [ent=ED1633-NPXX51362_00-0000000000000000, user=10000000 pft=2]
"
PROCESS_OUTPUT,STREAM_STDIO,42,100698,24893637109811,"[SceNpAic	D] callbackLncServiceEvent() Application terminated. appId=0x6000220a titleId=NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,42,100698,24893637136386,"[SceNpAicCrsChk	D] OnAppTerminate() appId=0x6000220a
"
